noESCO,ESCOskill,noESCO_percentage,ESCOskill_percentage,cooccurrence_count
reactjs,height,0.94,0.02,2
reactjs,promise,0.94,0.03,1
reactjs,url,0.94,0.09,1
reactjs,input,0.94,0.03,3
reactjs,apache,0.94,0.07,1
reactjs,refactoring,0.94,0.02,1
reactjs,chai,0.94,0.0,1
reactjs,meteor,0.94,0.08,3
reactjs,production,0.94,0.01,1
reactjs,components,0.94,0.02,5
reactjs,architecture,0.94,0.02,3
reactjs,loading,0.94,0.01,3
reactjs,jss,0.94,0.01,5
composer-php,php,0.03,3.05,15
symfony,python,0.37,4.26,1
symfony,arrays,0.37,0.5,2
symfony,string,0.37,0.39,1
symfony,linux,0.37,0.58,1
symfony,java,0.37,4.62,6
symfony,android,0.37,3.02,1
symfony,php,0.37,3.05,121
symfony,c#,0.37,3.64,1
symfony,javascript,0.37,5.15,15
symfony,typescript,0.37,0.59,1
symfony,postgresql,0.37,0.32,3
symfony,mysql,0.37,0.79,2
symfony,css,0.37,1.46,3
symfony,ajax,0.37,0.1,2
symfony,spring,0.37,0.64,2
symfony,time,0.37,0.06,1
symfony,forms,0.37,0.08,2
symfony,testing,0.37,0.09,1
symfony,url,0.37,0.09,5
symfony,controller,0.37,0.02,2
symfony,email,0.37,0.06,4
symfony,entity,0.37,0.01,2
typo3,php,0.03,3.05,5
typo3,javascript,0.03,5.15,3
typo3,css,0.03,1.46,3
typo3,fluid,0.03,0.0,2
arduino,python,0.01,4.26,2
arduino,c++,0.01,1.77,1
arduino,maven,0.01,0.22,1
xslt,python,0.02,4.26,1
xslt,java,0.02,4.62,1
xslt,c#,0.02,3.64,1
xslt,xquery,0.02,0.0,1
xslt,javascript,0.02,5.15,3
xslt,.net,0.02,0.86,1
xslt,sql,0.02,0.59,1
xslt,dictionary,0.02,0.12,1
xslt,css,0.02,1.46,2
xslt,url,0.02,0.09,1
xml,python,0.19,4.26,2
xml,c++,0.19,1.77,1
xml,arrays,0.19,0.5,2
xml,java,0.19,4.62,23
xml,android,0.19,3.02,24
xml,php,0.19,3.05,4
xml,c#,0.19,3.64,16
xml,xquery,0.19,0.0,1
xml,javascript,0.19,5.15,4
xml,.net,0.19,0.86,3
xml,sql,0.19,0.59,1
xml,dictionary,0.19,0.12,1
xml,mysql,0.19,0.79,1
xml,css,0.19,1.46,3
xml,ajax,0.19,0.1,3
xml,scala,0.19,0.27,1
xml,eclipse,0.19,0.32,1
xml,go,0.19,0.21,2
xml,linq,0.19,0.1,2
xml,spring,0.19,0.64,3
xml,maven,0.19,0.22,1
xml,import,0.19,0.02,1
xml,backup,0.19,0.02,1
xml,button,0.19,0.03,1
xml,properties,0.19,0.02,2
xml,api,0.19,0.05,1
xml,tags,0.19,0.01,2
xml,report,0.19,0.01,2
xslt-2.0,python,0.0,4.26,1
xslt-2.0,java,0.0,4.62,1
xslt-2.0,c#,0.0,3.64,1
xslt-2.0,xquery,0.0,0.0,1
xslt-2.0,javascript,0.0,5.15,1
xslt-2.0,.net,0.0,0.86,1
xpath,python,0.02,4.26,1
xpath,java,0.02,4.62,2
xpath,php,0.02,3.05,1
xpath,c#,0.02,3.64,1
xpath,xquery,0.02,0.0,1
xpath,javascript,0.02,5.15,1
xpath,.net,0.02,0.86,1
xpath,sql,0.02,0.59,1
xpath,maven,0.02,0.22,1
xslt-1.0,python,0.0,4.26,1
xslt-1.0,java,0.0,4.62,1
xslt-1.0,c#,0.0,3.64,1
xslt-1.0,xquery,0.0,0.0,1
xslt-1.0,javascript,0.0,5.15,1
xslt-1.0,.net,0.0,0.86,1
xslt-3.0,python,0.0,4.26,1
xslt-3.0,java,0.0,4.62,1
xslt-3.0,c#,0.0,3.64,1
xslt-3.0,xquery,0.0,0.0,1
xslt-3.0,javascript,0.0,5.15,1
xslt-3.0,.net,0.0,0.86,1
saxon,python,0.0,4.26,1
saxon,java,0.0,4.62,1
saxon,c#,0.0,3.64,1
saxon,xquery,0.0,0.0,1
saxon,javascript,0.0,5.15,1
saxon,.net,0.0,0.86,1
html,python,1.96,4.26,32
html,c++,1.96,1.77,12
html,arrays,1.96,0.5,16
html,c,1.96,0.65,3
html,string,1.96,0.39,2
html,linux,1.96,0.58,1
html,function,1.96,0.04,1
html,class,1.96,0.07,3
html,templates,1.96,0.08,2
html,file,1.96,0.16,2
html,java,1.96,4.62,35
html,android,1.96,3.02,15
html,php,1.96,3.05,135
html,c#,1.96,3.64,37
html,xquery,1.96,0.0,1
html,javascript,1.96,5.15,413
html,.net,1.96,0.86,2
html,sql,1.96,0.59,5
html,typescript,1.96,0.59,4
html,excel,1.96,0.18,1
html,list,1.96,0.14,2
html,dictionary,1.96,0.12,2
html,ruby,1.96,0.42,2
html,postgresql,1.96,0.32,2
html,mysql,1.96,0.79,13
html,css,1.96,1.46,379
html,asp.net,1.96,0.39,2
html,ajax,1.96,0.1,3
html,algorithm,1.96,0.16,3
html,scala,1.96,0.27,2
html,git,1.96,0.68,6
html,3d,1.96,0.02,1
html,angular,1.96,0.73,9
html,oop,1.96,0.09,1
html,security,1.96,0.06,1
html,date,1.96,0.12,6
html,prolog,1.96,0.02,1
html,haskell,1.96,0.14,3
html,orm,1.96,0.04,1
html,database,1.96,0.15,1
html,matlab,1.96,0.11,1
html,inheritance,1.96,0.05,3
html,go,1.96,0.21,3
html,jenkins,1.96,0.11,4
html,spring,1.96,0.64,1
html,geometry,1.96,0.02,1
html,ios,1.96,1.69,2
html,wordpress,1.96,0.12,5
html,select,1.96,0.01,1
html,forms,1.96,0.08,13
html,terminal,1.96,0.05,1
html,height,1.96,0.02,1
html,animation,1.96,0.03,1
html,background,1.96,0.02,1
html,image,1.96,0.11,6
html,testing,1.96,0.09,1
html,url,1.96,0.09,1
html,validation,1.96,0.05,5
html,dom,1.96,0.04,2
html,input,1.96,0.03,3
html,chat,1.96,0.0,1
html,text,1.96,0.04,2
html,email,1.96,0.06,5
html,parameters,1.96,0.04,1
html,logging,1.96,0.07,2
html,directory,1.96,0.05,1
html,video,1.96,0.05,2
html,border,1.96,0.02,1
html,printing,1.96,0.01,2
html,keyboard,1.96,0.03,2
html,canvas,1.96,0.02,2
html,embed,1.96,0.0,1
html,format,1.96,0.03,2
html,audio,1.96,0.02,2
html,api,1.96,0.05,1
html,center,1.96,0.01,4
html,anchor,1.96,0.01,1
html,joomla,1.96,0.02,2
html,label,1.96,0.02,3
html,config,1.96,0.01,2
html,2d,1.96,0.01,3
html,meta,1.96,0.0,2
html,entities,1.96,0.0,2
linq-to-xml,python,0.01,4.26,1
linq-to-xml,java,0.01,4.62,1
linq-to-xml,c#,0.01,3.64,4
linq-to-xml,xquery,0.01,0.0,1
linq-to-xml,javascript,0.01,5.15,1
linq-to-xml,.net,0.01,0.86,2
xsd,python,0.0,4.26,1
xsd,java,0.0,4.62,2
xsd,c#,0.0,3.64,1
xsd,xquery,0.0,0.0,1
xsd,javascript,0.0,5.15,1
xsd,.net,0.0,0.86,1
xslt-grouping,python,0.0,4.26,1
xslt-grouping,java,0.0,4.62,1
xslt-grouping,c#,0.0,3.64,1
xslt-grouping,xquery,0.0,0.0,1
xslt-grouping,javascript,0.0,5.15,1
xslt-grouping,.net,0.0,0.86,1
xml-parsing,python,0.0,4.26,1
xml-parsing,java,0.0,4.62,1
xml-parsing,c#,0.0,3.64,1
xml-parsing,xquery,0.0,0.0,1
xml-parsing,javascript,0.0,5.15,1
xml-parsing,.net,0.0,0.86,1
json,python,0.31,4.26,27
json,performance,0.31,0.16,1
json,c++,0.31,1.77,3
json,arrays,0.31,0.5,6
json,c,0.31,0.65,2
json,string,0.31,0.39,1
json,linux,0.31,0.58,1
json,function,0.31,0.04,2
json,class,0.31,0.07,1
json,windows,0.31,0.33,1
json,java,0.31,4.62,31
json,android,0.31,3.02,11
json,php,0.31,3.05,5
json,c#,0.31,3.64,19
json,xquery,0.31,0.0,1
json,javascript,0.31,5.15,31
json,.net,0.31,0.86,4
json,sql,0.31,0.59,4
json,typescript,0.31,0.59,3
json,rust,0.31,0.14,1
json,shell,0.31,0.18,2
json,list,0.31,0.14,1
json,dictionary,0.31,0.12,1
json,ruby,0.31,0.42,2
json,postgresql,0.31,0.32,6
json,mysql,0.31,0.79,3
json,css,0.31,1.46,2
json,asp.net,0.31,0.39,2
json,ajax,0.31,0.1,3
json,algorithm,0.31,0.16,1
json,scala,0.31,0.27,4
json,git,0.31,0.68,1
json,swift,0.31,0.83,1
json,angular,0.31,0.73,1
json,oop,0.31,0.09,1
json,security,0.31,0.06,1
json,date,0.31,0.12,2
json,database,0.31,0.15,1
json,go,0.31,0.21,3
json,oracle,0.31,0.06,1
